[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '19', 坐标: (1182, 3090), 尺寸: 66x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '02', 坐标: (1060, 3088), 尺寸: 176x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '20', 坐标: (1117, 3100), 尺寸: 63x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '15', 坐标: (1082, 3095), 尺寸: 59x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '22', 坐标: (1284, 3129), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '23', 坐标: (1155, 3324), 尺寸: 174x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '24', 坐标: (1143, 3322), 尺寸: 68x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '25', 坐标: (1178, 3088), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '27', 坐标: (1086, 3093), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '28', 坐标: (1236, 3317), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '29', 坐标: (1214, 3322), 尺寸: 59x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '03', 坐标: (1088, 3078), 尺寸: 68x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '30', 坐标: (1145, 3315), 尺寸: 111x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '31', 坐标: (1178, 3093), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '32', 坐标: (1053, 3090), 尺寸: 176x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '33', 坐标: (1091, 3100), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '34', 坐标: (1292, 3334), 尺寸: 65x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '35', 坐标: (1157, 3324), 尺寸: 177x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '36', 坐标: (1145, 3322), 尺寸: 68x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '37', 坐标: (1187, 3086), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '38', 坐标: (1116, 3072), 尺寸: 64x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '39', 坐标: (1100, 3093), 尺寸: 65x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '04', 坐标: (1233, 3306), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '40', 坐标: (1222, 3318), 尺寸: 66x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '41', 坐标: (1145, 3324), 尺寸: 176x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '42', 坐标: (1134, 3317), 尺寸: 66x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1189, 3093), 尺寸: 66x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '44', 坐标: (1053, 3078), 尺寸: 172x53
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '45', 坐标: (1103, 3100), 尺寸: 59x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '46', 坐标: (1276, 3338), 尺寸: 125x66
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '47', 坐标: (1205, 3324), 尺寸: 66x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '48', 坐标: (1083, 3322), 尺寸: 165x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '49', 坐标: (1180, 3093), 尺寸: 65x50
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '05', 坐标: (1148, 3306), 尺寸: 181x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '50', 坐标: (1057, 3085), 尺寸: 179x64
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '51', 坐标: (1045, 3092), 尺寸: 119x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '52', 坐标: (1218, 3338), 尺寸: 174x55
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '53', 坐标: (1143, 3318), 尺寸: 177x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '54', 坐标: (1134, 3311), 尺寸: 75x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '55', 坐标: (1103, 3065), 尺寸: 136x55
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '56', 坐标: (1058, 3072), 尺寸: 147x53
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '57', 坐标: (1110, 3102), 尺寸: 61x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '58', 坐标: (1274, 3339), 尺寸: 121x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '59', 坐标: (1162, 3322), 尺寸: 176x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '06', 坐标: (1143, 3308), 尺寸: 72x67
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '60', 坐标: (1115, 3317), 尺寸: 135x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '61', 坐标: (1159, 3064), 尺寸: 63x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '62', 坐标: (1117, 3081), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '63', 坐标: (1082, 3067), 尺寸: 66x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '64', 坐标: (1184, 3315), 尺寸: 148x49
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '65', 坐标: (1161, 3317), 尺寸: 151x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '66', 坐标: (1088, 3308), 尺寸: 167x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '67', 坐标: (1118, 3074), 尺寸: 157x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '168', 坐标: (1046, 3074), 尺寸: 164x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '69', 坐标: (1089, 3093), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '07', 坐标: (1185, 3100), 尺寸: 68x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '70', 坐标: (1224, 3313), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '71', 坐标: (1214, 3315), 尺寸: 63x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '72', 坐标: (1140, 3318), 尺寸: 74x72
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '08', 坐标: (1055, 3100), 尺寸: 118x62
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '09', 坐标: (1012, 3086), 尺寸: 176x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '01', 坐标: (1177, 3085), 尺寸: 63x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '10', 坐标: (1171, 3320), 尺寸: 176x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '11', 坐标: (1152, 3331), 尺寸: 177x67
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '12', 坐标: (1134, 3325), 尺寸: 72x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '13', 坐标: (1165, 3090), 尺寸: 68x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '14', 坐标: (1106, 3088), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '22', 坐标: (1185, 3088), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '16', 坐标: (1242, 3317), 尺寸: 119x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '17', 坐标: (1154, 3320), 尺寸: 177x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '18', 坐标: (1141, 3318), 尺寸: 114x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '19', 坐标: (1182, 3090), 尺寸: 66x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '02', 坐标: (1060, 3088), 尺寸: 176x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '20', 坐标: (1117, 3100), 尺寸: 63x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '15', 坐标: (1082, 3095), 尺寸: 59x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '22', 坐标: (1284, 3129), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '23', 坐标: (1155, 3324), 尺寸: 174x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '24', 坐标: (1143, 3322), 尺寸: 68x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '25', 坐标: (1178, 3088), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '27', 坐标: (1086, 3093), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '28', 坐标: (1236, 3317), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '29', 坐标: (1214, 3322), 尺寸: 59x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '03', 坐标: (1088, 3078), 尺寸: 68x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '30', 坐标: (1145, 3315), 尺寸: 111x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '31', 坐标: (1178, 3093), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '32', 坐标: (1053, 3090), 尺寸: 176x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '33', 坐标: (1091, 3100), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '34', 坐标: (1292, 3334), 尺寸: 65x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '35', 坐标: (1157, 3324), 尺寸: 177x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '36', 坐标: (1145, 3322), 尺寸: 68x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '37', 坐标: (1187, 3086), 尺寸: 66x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '38', 坐标: (1116, 3072), 尺寸: 64x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '39', 坐标: (1100, 3093), 尺寸: 65x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '04', 坐标: (1233, 3306), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '40', 坐标: (1222, 3318), 尺寸: 66x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '41', 坐标: (1145, 3324), 尺寸: 176x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '42', 坐标: (1134, 3317), 尺寸: 66x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '43', 坐标: (1189, 3093), 尺寸: 66x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '44', 坐标: (1053, 3078), 尺寸: 172x53
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '45', 坐标: (1103, 3100), 尺寸: 59x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '46', 坐标: (1276, 3338), 尺寸: 125x66
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '47', 坐标: (1205, 3324), 尺寸: 66x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '48', 坐标: (1083, 3322), 尺寸: 165x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '49', 坐标: (1180, 3093), 尺寸: 65x50
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '05', 坐标: (1148, 3306), 尺寸: 181x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '50', 坐标: (1057, 3085), 尺寸: 179x64
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '51', 坐标: (1045, 3092), 尺寸: 119x57
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '52', 坐标: (1218, 3338), 尺寸: 174x55
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '53', 坐标: (1143, 3318), 尺寸: 177x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '54', 坐标: (1134, 3311), 尺寸: 75x65
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '55', 坐标: (1103, 3065), 尺寸: 136x55
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '56', 坐标: (1058, 3072), 尺寸: 147x53
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '57', 坐标: (1110, 3102), 尺寸: 61x52
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '58', 坐标: (1274, 3339), 尺寸: 121x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '59', 坐标: (1162, 3322), 尺寸: 176x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '06', 坐标: (1143, 3308), 尺寸: 72x67
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '60', 坐标: (1115, 3317), 尺寸: 135x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '61', 坐标: (1159, 3064), 尺寸: 63x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '62', 坐标: (1117, 3081), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '63', 坐标: (1082, 3067), 尺寸: 66x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '64', 坐标: (1184, 3315), 尺寸: 148x49
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '65', 坐标: (1161, 3317), 尺寸: 151x54
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '66', 坐标: (1088, 3308), 尺寸: 167x56
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '67', 坐标: (1118, 3074), 尺寸: 157x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '168', 坐标: (1046, 3074), 尺寸: 164x58
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '69', 坐标: (1089, 3093), 尺寸: 65x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '07', 坐标: (1185, 3100), 尺寸: 68x59
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '70', 坐标: (1224, 3313), 尺寸: 65x61
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '71', 坐标: (1214, 3315), 尺寸: 63x60
[FILTER_LOG] ROW被过滤 - 过滤器: filter_page_number, 文本: '72', 坐标: (1140, 3318), 尺寸: 74x72
